text,label,sentiment
"Royal: le président n'aime pas les pauvres? ""c'est n'importe quoi"" http …",0,negative
La 'fashionweek' du fleurissement - Site Officiel de la Ville de Lyon http,1,neutral
#press #seo: Nager vert avec les piscines écologiques http #piscineécologique,2,positive
#Biodiversité #Gard : Des Lézards ocellés détruits sans autorisation à Saint-Gilles ! http,0,negative
"#Sicav #FCP : une sélection de valeurs ""développement durable"" http via @user",1,neutral
Etat des lieux et analyse des mécanismes de soutien public aux énergies renouvelables en France ►► http,2,positive
Les espèces disparaissent 1.000 fois plus depuis que l'Homme existe | @user http,0,negative
Master Management de l'Envrironnement et du Développement Durable ou Master Économie et Développement du Territoire.. À choisir 💭💭,1,neutral
Une entreprise allemande propose une solution éco-efficace de ferme urbaine http #NRJ(Canada) #RegionsofFrance,2,positive
Réchauffement : l’ONU prédit un véritable «enfer climatique» d’ici 2050 http http,0,negative
#Rexel publie son Rapport d’activité et de développement durable 2013 http,1,neutral
"@user @user Ah Oui, les éoliennes, pourrait aussi les éloigner .. ouf Merci...J'en veux une dans ma cour...",2,positive
Info: Éoliennes - Le résultat de l’enquête publique est tombé pour Esnes et Montzéville : avis défavorable,0,negative
Développement durable | Site de la Direction des Bibliothèques et de l'IST | @user http,1,neutral
Réchauffement climatique: il est grand temps d'agir - http,2,positive
"#GCO : les écologistes strasbourgeois sont ""stupéfaits"" - http",0,negative
Les 10 clés de l'agro-écologie en France http,1,neutral
J'aime ma bio parce que je mange bio et je travail dans la biologie et je roule en biocarburant.,2,positive
Polémique autour de l’abattage massif de bouquetins en Haute-Savoie | Eco(lo) http,0,negative
RT @user: Les Eurodéputés Europe Ecologie solidaires de la population à Gaza http,1,neutral
Echange autour du thème de l'agriculture raisonnée à la Réunion http,2,positive
Un réseau de journalistes pour lutter contre les négationnistes du changement climatique. http,0,negative
@user il n' y a rien d écologique à faire bruler des pneus,1,neutral
"@user ""Illimitées"", cela fera sourire les environnementalistes. Et le thème du déclin américain est récurent depuis les années 1970...",2,positive
"L’exportation de l’énergie éolienne, une source de profits boudée par Hydro-Québec  | Michel Lagacé... http",0,negative
"La ""fashionweek"" du fleurissement http",1,neutral
@user ah ça c'est sûr. J'ai fais du volontériat en écologie.,2,positive
"L’exportation de l’énergie éolienne, une source de profits boudée par Hydro-Québec  | Michel Lagacé http",0,negative
"Dans le cadre du Tour de France de la biodiversité, aujourd'hui c'est au tour du Pic noir -&gt; http",1,neutral
"En France aussi, la police / gendarmerie est au service d'une minorité... http #Sivens #Écologie http",2,positive
La lutte contre la mosaïque du manioc aux Comores: La sélection variétale pour lutter contre la mosaïque du manioc http,0,negative
#BTP #Durable #DD #Ecologie Eco-conditionnalité : le décret et les arrêtés (enfin) publiés au Journal Officiel http,1,neutral
"Il nous sort ""J'vais pas allumer la lumière parce que je veux pas faire marcher des centrales électriques."" Ah.",2,positive
Cuba: Mesures contre les effets du changement http #Cuba,0,negative
"Contrôle la qualité de l'air intérieur, bientôt des obligations : http",1,neutral
@user @user @user Je mets au défis ce député bobo écologiste d'aller au chantier de Saint-Nazaire #chiche,2,positive
"Salut, Bonjour! - Roy Dupuis et Samian : coup de gueule en fin de vidéo par rapport a l'hydroélectricité au Québec http",0,negative
#ecologie Ségolène Royal et Sylvia... http,1,neutral
"""Nous sommes soulagés chez les écologistes de la suspension de l'écotaxe"" Joel Labbé dans #E1midi",2,positive
1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'indifférence générale | http via @user,0,negative
10 indicateurs clés de l'environnement http,1,neutral
La Commission lance une consultation publique sur la derni ère strat égie macro-r égionale http,2,positive
@user lol ça existe des foyers dotés d'énergie solaire et qui ont une télé. Le questionnaire est unique pour le Maroc entier ;-),0,negative
"#ecologie Cueillir des plantes sauvages, pourquoi et comment http",1,neutral
"Le SNE-FSU attend un réel engagement de la ministre de l'écologie sur le ""chantier personnels de l'Environnement""",2,positive
Non à la répression contre la ZAD du #Testet ! http / (photo Frédéric Raguenès) http,0,negative
Le livre noir de l’écologie - Le livre noir de l’AFP - Jean Robin - Afis http,1,neutral
"le développement durable des petits Etats insulaires, un test décisif pour le monde  http",2,positive
"Vous voulez les infos? Des morts, la crise économique, des attentats, réchauffement climatique, bientôt 3e GM. Voilà.",0,negative
Les meilleures photos animalières de 2014 - M6info by MSN http,1,neutral
#ecologie Écologie : les golfs s'engagent de plus en plus pour l'environnement http,2,positive
"#Bargy. Polémique sur l’#abattage massif de #bouquetins - http #Extermination pour plaire aux éleveurs, chasseurs et élus",0,negative
"Vers une ""Union de l'énergie"": ""Nous devons combler le fossé entre la recherche et l'industrie""  http #ecologie Mediaterre",1,neutral
